customer_id,customer_name,industry,company_size,customer_since,last_interaction,support_tickets,satisfaction_score,churn_status
CUST0023,Bhandari Group,Manufacturing,Mid-Market,2022-01-03,2025-06-30,1,8,0
CUST0024,Babu-Bala,Non-Profit,Mid-Market,2022-03-26,2025-06-30,1,8,0
CUST0025,Rege Group,Non-Profit,Mid-Market,2021-09-06,2024-04-05,8,7,0
CUST0026,Iyer Inc,Tech,Small,2020-09-23,2025-06-30,1,8,0
CUST0027,Modi-Bhat,Non-Profit,Mid-Market,2019-03-27,2025-06-30,1,8,0
CUST0028,"Kohli, Varghese and Banerjee",Non-Profit,Enterprise,2020-12-06,2024-07-21,31,1,1
CUST0029,"Chaudhuri, Oommen and Mangat",Healthcare,Enterprise,2022-07-15,2025-06-30,1,8,0
CUST0030,"Chanda, Master and Dani",Tech,Enterprise,2021-12-16,2025-06-30,1,8,0
CUST0031,"Das, Issac and Cheema",Retail,Mid-Market,2019-07-05,2025-06-30,1,8,0
CUST0032,Aggarwal Group,Tech,Enterprise,2021-11-25,2025-06-30,1,8,0
CUST0033,Rao-Sekhon,Education,Enterprise,2025-02-21,2025-06-30,1,8,0
CUST0034,Puri-Warrior,Retail,Small,2021-04-29,2024-11-29,23,2,0
CUST0035,"Parmer, Chakraborty and Om",Tech,Small,2021-01-01,2024-09-19,11,4,0
CUST0036,Badal-Som,Healthcare,Enterprise,2021-12-11,2025-05-07,13,6,0
CUST0037,Panchal Inc,Tech,Mid-Market,2022-11-07,2025-06-30,1,8,0
CUST0038,Walia-Sura,Healthcare,Mid-Market,2019-07-23,2025-01-02,41,2,1
CUST0039,"Kalla, Soman and Ratti",Tech,Enterprise,2024-04-10,2025-06-30,1,8,0
CUST0040,Lala Group,Finance,Mid-Market,2023-06-22,2025-06-15,9,5,0
CUST0041,Sarma and Sons,Retail,Small,2020-09-02,2025-06-30,1,8,0
CUST0042,Nayak Ltd,Retail,Enterprise,2020-07-15,2024-03-05,45,2,1
CUST0043,Chand-Sama,Non-Profit,Small,2025-01-04,2025-06-17,1,5,0
CUST0044,Chad Ltd,Finance,Enterprise,2025-04-24,2025-06-30,1,8,0
CUST0045,Sule Inc,Government,Enterprise,2022-09-03,2025-06-30,1,8,0
CUST0046,Memon and Sons,Tech,Small,2023-11-08,2025-06-30,1,8,0
CUST0047,Chawla LLC,Government,Small,2019-07-06,2025-06-30,1,8,0
CUST0048,"Palla, Agrawal and Vasa",Healthcare,Small,2023-12-28,2025-06-30,1,8,0
CUST0049,Ganesan PLC,Education,Small,2021-10-12,2025-06-20,23,9,0
CUST0050,Dugar-Buch,Healthcare,Mid-Market,2019-12-13,2025-06-30,1,8,0
CUST0051,Dube-Setty,Government,Mid-Market,2019-11-03,2025-06-30,1,8,0
CUST0052,Pall-Dube,Healthcare,Small,2019-01-26,2024-04-22,48,3,1
CUST0053,"Sama, Gaba and Rau",Non-Profit,Small,2020-02-29,2023-10-24,16,2,1
CUST0054,"Prashad, Gulati and Saxena",Government,Small,2021-04-06,2025-06-30,1,8,0
CUST0055,Mukherjee Ltd,Finance,Enterprise,2022-03-23,2025-06-30,1,8,0
CUST0056,"Setty, Pillay and Shroff",Government,Small,2022-02-23,2025-06-30,1,8,0
CUST0057,Patla LLC,Finance,Mid-Market,2023-06-07,2025-06-30,1,8,0
CUST0058,Bala Group,Tech,Small,2024-08-29,2025-05-17,0,1,0
CUST0059,Kakar Group,Education,Small,2020-10-26,2025-05-28,34,10,0
CUST0060,"Dayal, Kalita and Vora",Retail,Small,2020-12-18,2025-06-30,1,8,0
CUST0061,"Hayer, Deol and Cherian",Finance,Small,2024-06-03,2025-06-06,14,7,0
CUST0062,Rau and Sons,Government,Mid-Market,2019-03-25,2025-06-30,1,8,0
CUST0063,Chanda-Krishnan,Retail,Small,2023-04-22,2025-06-30,1,8,0
CUST0064,Bhat PLC,Retail,Small,2021-07-29,2024-05-02,23,5,0
CUST0065,"Bajwa, Bedi and Shukla",Finance,Small,2025-03-10,2025-06-22,16,8,0
CUST0066,Manda LLC,Healthcare,Mid-Market,2023-03-19,2025-06-30,1,8,0
CUST0067,Talwar-Aurora,Retail,Small,2024-02-28,2024-06-08,13,4,0
CUST0068,"Saxena, Sinha and Dar",Government,Small,2025-02-05,2025-06-30,1,8,0
CUST0069,Kar Inc,Education,Mid-Market,2019-05-21,2025-06-30,1,8,0
CUST0070,"Mani, Chhabra and Pai",Non-Profit,Enterprise,2024-12-13,2024-10-23,18,1,1
CUST0071,Char-Sodhi,Finance,Small,2021-05-30,2025-06-30,1,8,0
CUST0072,"Batra, Talwar and Salvi",Non-Profit,Mid-Market,2020-02-18,2025-06-30,1,8,0
CUST0073,Saha-Gara,Finance,Mid-Market,2023-09-16,2023-09-30,13,5,0
CUST0074,Barad Group,Education,Small,2019-02-09,2025-06-30,1,8,0
CUST0075,Nigam-Pal,Retail,Mid-Market,2024-03-06,2025-05-18,12,8,0
CUST0076,Chaudhry Group,Tech,Enterprise,2023-04-07,2025-06-30,1,8,0
CUST0077,"Pal, Pandit and Wagle",Manufacturing,Enterprise,2021-05-10,2025-06-30,1,8,0
CUST0078,Oommen-Memon,Retail,Mid-Market,2025-01-19,2025-01-21,13,7,0
CUST0079,"Lad, Chad and Cherian",Government,Small,2019-04-21,2023-10-15,43,2,1
CUST0080,"Palan, Golla and Sura",Government,Enterprise,2020-10-10,2025-06-30,1,8,0
CUST0081,Grewal LLC,Non-Profit,Mid-Market,2022-03-05,2025-06-30,1,8,0
CUST0082,Munshi LLC,Education,Small,2021-01-12,2025-06-30,1,8,0
CUST0083,Bal PLC,Non-Profit,Small,2019-07-15,2025-06-30,1,8,0
CUST0084,Parekh-Uppal,Education,Enterprise,2024-01-24,2025-06-30,1,8,0
CUST0085,"Kant, Menon and Gade",Manufacturing,Mid-Market,2024-10-06,2024-10-03,14,3,1
CUST0086,Mukherjee-Om,Finance,Enterprise,2023-02-22,2025-06-30,1,8,0
CUST0087,Dyal and Sons,Government,Mid-Market,2019-02-05,2025-06-30,1,8,0
CUST0088,"Murthy, Prasad and Chadha",Retail,Enterprise,2025-01-31,2025-03-08,7,4,0
CUST0089,Vaidya-Lall,Retail,Small,2024-05-17,2025-06-30,1,8,0
CUST0090,Bora Inc,Non-Profit,Mid-Market,2021-10-12,2025-04-21,41,7,0
CUST0091,Chaudry PLC,Education,Small,2025-05-28,2025-06-30,1,8,0
CUST0092,Sura Group,Healthcare,Enterprise,2022-01-08,2025-06-30,1,8,0
CUST0093,"Naidu, Mahal and Anne",Manufacturing,Enterprise,2023-03-22,2025-06-30,1,8,0
CUST0094,Mangat Inc,Tech,Mid-Market,2019-08-23,2024-09-26,4,10,0
CUST0095,Chaudhari-Taneja,Finance,Mid-Market,2024-08-29,2025-06-30,1,8,0
CUST0096,Lalla Ltd,Tech,Small,2024-03-14,2025-06-30,1,8,0
CUST0097,Saha-Vora,Manufacturing,Enterprise,2022-02-03,2025-06-30,1,8,0
CUST0098,"Sule, Chhabra and Guha",Government,Mid-Market,2023-09-05,2024-11-28,39,2,1
CUST0099,Lata-Lanka,Healthcare,Enterprise,2020-11-26,2025-06-30,1,8,0
CUST0100,Mandal Ltd,Tech,Enterprise,2021-02-12,2024-04-11,28,5,1
CUST0101,Basu-Pillay,Retail,Enterprise,2021-05-13,2025-06-30,1,8,0
CUST0102,"Nagy, Pall and Nagarajan",Education,Enterprise,2021-07-19,2023-08-21,24,9,0
CUST0103,Loke-Nadig,Government,Mid-Market,2022-05-23,2025-06-30,1,8,0
CUST0104,Tiwari-Nagy,Government,Small,2023-03-05,2025-06-30,1,8,0
CUST0105,Nadig-Kaur,Non-Profit,Small,2020-12-12,2025-06-30,1,8,0
CUST0106,"Radhakrishnan, Sur and Bhandari",Government,Mid-Market,2023-06-25,2025-06-30,1,8,0
CUST0107,"Manne, Oak and Nanda",Healthcare,Mid-Market,2019-10-09,2024-11-28,5,10,0
CUST0108,Mand PLC,Manufacturing,Mid-Market,2024-06-22,2024-09-30,29,2,1
CUST0109,"Kurian, Vig and Butala",Finance,Mid-Market,2019-09-18,2025-06-30,1,8,0
CUST0110,Munshi-Naik,Education,Enterprise,2023-07-03,2025-06-30,1,8,0
CUST0111,Luthra Inc,Finance,Small,2025-04-03,2025-06-30,1,8,0
CUST0112,"Datta, Behl and Prasad",Non-Profit,Enterprise,2025-04-17,2025-06-30,1,8,0
CUST0113,Mandal-Borra,Tech,Mid-Market,2023-09-27,2024-05-17,2,3,1
CUST0114,"Ganesh, Nagi and Sabharwal",Finance,Small,2020-08-21,2025-06-30,1,8,0
CUST0115,"Sem, Gour and Mutti",Finance,Enterprise,2020-02-04,2025-06-30,1,8,0
CUST0116,Purohit Ltd,Manufacturing,Enterprise,2020-08-29,2024-06-11,14,5,0
CUST0117,Bora-Dass,Non-Profit,Small,2020-05-15,2024-03-23,27,6,0
CUST0118,Seth PLC,Retail,Enterprise,2021-05-10,2023-08-11,44,4,1
CUST0119,Peri PLC,Government,Small,2020-04-26,2023-08-16,13,4,1
CUST0120,Thaman PLC,Finance,Small,2022-11-16,2025-06-30,1,8,0
CUST0121,"Gola, Borde and Shanker",Retail,Small,2020-02-15,2025-06-30,1,8,0
CUST0122,Pillay Group,Non-Profit,Enterprise,2020-11-15,2025-06-30,1,8,0
CUST0123,Khanna LLC,Education,Mid-Market,2020-11-04,2025-06-30,1,8,0
CUST0124,Mitra Group,Tech,Mid-Market,2020-10-18,2024-06-03,22,3,1
CUST0125,"Prabhu, Setty and Bora",Education,Mid-Market,2023-08-25,2024-05-24,21,9,0
CUST0126,Zachariah LLC,Manufacturing,Enterprise,2019-02-10,2025-06-30,1,8,0
CUST0127,Lad and Sons,Healthcare,Enterprise,2024-07-09,2025-01-04,18,5,1
CUST0128,Yohannan PLC,Manufacturing,Small,2023-08-03,2025-06-30,1,8,0
CUST0129,Misra-Baral,Government,Mid-Market,2023-10-06,2025-06-30,1,8,0
CUST0130,Lala-Anand,Government,Mid-Market,2025-06-04,2025-07-18,46,8,0
CUST0131,Desai-Ratti,Healthcare,Enterprise,2024-05-01,2025-06-30,1,8,0
CUST0132,Chadha-Samra,Tech,Small,2020-01-17,2023-12-25,6,1,1
CUST0133,"Bahl, Wable and Chaudry",Education,Enterprise,2021-10-19,2025-06-30,1,8,0
CUST0134,Chandran-Natt,Education,Mid-Market,2022-02-08,2025-06-30,1,8,0
CUST0135,Raval-Mohanty,Government,Enterprise,2024-04-09,2025-05-01,2,1,0
CUST0136,"Dora, Deep and Raman",Non-Profit,Mid-Market,2022-09-21,2025-02-22,12,3,0
CUST0137,"Mangal, Devan and Pillay",Healthcare,Mid-Market,2021-04-27,2025-06-30,1,8,0
CUST0138,Master-Jhaveri,Non-Profit,Enterprise,2025-06-24,2025-06-30,1,8,0
CUST0139,Chaudry-Kala,Healthcare,Mid-Market,2024-06-25,2025-05-12,33,8,0
CUST0140,"Sundaram, Kar and Garde",Government,Enterprise,2022-04-09,2025-06-30,1,8,0
CUST0141,Tank-Barman,Manufacturing,Small,2024-06-12,2025-06-30,1,8,0
CUST0142,Thaker Ltd,Tech,Mid-Market,2021-10-30,2025-06-30,1,8,0
CUST0143,Gokhale Group,Finance,Small,2024-05-13,2025-06-30,1,8,0
CUST0144,Sinha-Comar,Tech,Enterprise,2020-01-02,2025-06-30,1,8,0
CUST0145,"Khurana, Gandhi and Mitter",Government,Small,2022-06-16,2025-06-30,1,8,0
CUST0146,Ghose Ltd,Government,Small,2022-10-01,2025-06-30,1,8,0
CUST0147,"Babu, Chaudhry and Tiwari",Manufacturing,Enterprise,2025-05-22,2025-06-28,49,2,0
CUST0148,"Raju, Dar and Andra",Education,Mid-Market,2019-08-20,2025-06-30,1,8,0
CUST0149,Khosla-Golla,Tech,Small,2025-04-09,2025-04-27,46,10,0
CUST0150,"More, Grewal and Gulati",Healthcare,Small,2023-11-22,2024-10-30,3,4,1
CUST0151,"Deshmukh, Ramesh and Lal",Government,Small,2024-04-17,2024-07-01,39,1,0
CUST0152,Bath Ltd,Manufacturing,Enterprise,2019-12-29,2025-06-30,1,8,0
CUST0153,Dhillon Ltd,Tech,Mid-Market,2020-10-28,2025-06-30,1,8,0
CUST0154,"Som, Nadig and Sarraf",Finance,Small,2020-07-25,2024-02-27,13,8,0
CUST0155,Chandra PLC,Education,Mid-Market,2023-01-21,2025-06-30,1,8,0
CUST0156,Kade Ltd,Healthcare,Mid-Market,2019-07-26,2025-01-19,41,2,1
CUST0157,Behl-Balay,Education,Enterprise,2022-04-13,2025-06-30,1,8,0
CUST0158,Dube-Parikh,Non-Profit,Enterprise,2023-07-07,2025-06-30,1,8,0
CUST0159,Misra-Ramakrishnan,Government,Small,2020-02-28,2025-06-30,1,8,0
CUST0160,"Raman, Sahota and Varma",Government,Small,2025-04-21,2025-05-25,1,7,0
CUST0161,"Amble, Dutta and Arora",Manufacturing,Small,2022-12-06,2025-06-30,1,8,0
CUST0162,Bains and Sons,Healthcare,Enterprise,2020-05-04,2023-08-19,49,5,0
CUST0163,Sekhon-Gill,Manufacturing,Mid-Market,2021-01-05,2024-01-18,6,2,1
CUST0164,Sawhney Ltd,Non-Profit,Small,2022-05-03,2025-06-30,1,8,0
CUST0165,"Menon, Som and Ray",Healthcare,Mid-Market,2022-05-14,2025-06-30,1,8,0
CUST0166,Kashyap-Rama,Retail,Mid-Market,2019-07-10,2025-06-18,13,8,0
CUST0167,"Aggarwal, Cherian and Kuruvilla",Tech,Mid-Market,2019-04-26,2025-06-30,1,8,0
CUST0168,Mishra-Ranganathan,Education,Enterprise,2023-05-13,2025-03-24,50,10,0
CUST0169,Mahajan-Setty,Retail,Mid-Market,2022-11-02,2024-06-05,38,3,1
CUST0170,Vora Inc,Retail,Enterprise,2020-09-14,2025-06-30,1,8,0
CUST0171,Bali Group,Government,Small,2025-01-27,2025-01-31,34,3,0
CUST0172,"Mander, Nigam and Pal",Finance,Mid-Market,2022-03-21,2024-06-08,14,10,0
CUST0173,Andra Group,Education,Small,2022-06-03,2025-06-30,1,8,0
CUST0174,Kota PLC,Government,Mid-Market,2021-12-09,2025-03-28,43,7,0
CUST0175,"Koshy, Chada and Mukhopadhyay",Retail,Small,2019-04-03,2025-06-08,49,7,0
CUST0176,"Madan, Chahal and Khosla",Education,Enterprise,2024-10-16,2025-06-02,19,8,0
CUST0177,Chaudry-Boase,Retail,Enterprise,2023-02-28,2025-06-30,1,8,0
CUST0178,Ratta LLC,Manufacturing,Mid-Market,2022-07-20,2025-06-30,1,8,0
CUST0179,"Shah, Sarraf and Hayre",Tech,Enterprise,2022-10-20,2025-01-29,14,5,0
CUST0180,Wable-Chadha,Finance,Mid-Market,2023-07-31,2024-03-06,18,1,1
CUST0181,Padmanabhan-Pillay,Government,Small,2023-01-03,2025-06-30,1,8,0
CUST0182,Sane-Kapadia,Government,Small,2019-04-16,2025-06-30,1,8,0
CUST0183,Bhakta-Sharaf,Healthcare,Mid-Market,2022-07-23,2025-06-30,1,8,0
CUST0184,Oommen-Balan,Government,Enterprise,2023-03-19,2024-12-17,48,5,0
CUST0185,Rana-Mahajan,Tech,Small,2022-08-22,2025-06-30,1,8,0
CUST0186,Chhabra Inc,Tech,Mid-Market,2024-06-26,2025-06-30,1,8,0
CUST0187,Borah Group,Non-Profit,Small,2025-01-01,2025-04-05,0,9,0
CUST0188,Sathe LLC,Finance,Enterprise,2021-11-11,2025-06-30,1,8,0
CUST0189,Kalla-Grewal,Government,Enterprise,2020-04-26,2024-08-20,29,1,1
CUST0190,Edwin-Nanda,Retail,Mid-Market,2022-10-20,2025-06-30,1,8,0
CUST0191,"Raju, Jhaveri and Sahota",Manufacturing,Mid-Market,2024-12-29,2025-06-30,1,8,0
CUST0192,Barad LLC,Healthcare,Mid-Market,2019-11-25,2025-06-30,1,8,0
CUST0193,"Zacharia, Sundaram and Divan",Manufacturing,Enterprise,2023-09-02,2024-10-04,6,2,1
CUST0194,Ram-Varkey,Retail,Enterprise,2023-11-05,2025-06-30,1,8,0
CUST0195,Minhas-Saini,Retail,Mid-Market,2019-02-06,2024-03-01,33,5,1
CUST0196,"Dutt, Dhaliwal and Chander",Education,Mid-Market,2024-07-21,2025-06-30,1,8,0
CUST0197,Kala-Choudhry,Finance,Mid-Market,2024-01-09,2025-06-30,1,8,0
CUST0198,"Gokhale, Gole and Thaker",Healthcare,Small,2025-01-19,2025-05-20,30,8,0
CUST0199,"Mallick, Dugar and Kamdar",Retail,Enterprise,2019-06-30,2025-06-30,1,8,0
CUST0200,"Vyas, Ram and Ramakrishnan",Government,Enterprise,2025-05-19,2025-06-30,1,8,0
CUST0201,Mutti-Raman,Tech,Mid-Market,2024-03-28,2025-06-30,1,8,0
CUST0202,Kakar-Shroff,Finance,Enterprise,2024-12-30,2025-06-30,1,8,0
CUST0203,"Suri, Boase and Dubey",Healthcare,Small,2021-12-22,2025-06-30,1,8,0
CUST0204,Bansal Group,Manufacturing,Mid-Market,2025-03-24,2025-06-30,1,8,0
CUST0205,"Merchant, Narayan and Dar",Tech,Small,2023-01-17,2025-06-30,1,8,0
CUST0206,Kannan PLC,Retail,Small,2024-04-22,2025-06-30,1,8,0
CUST0207,Natt Ltd,Manufacturing,Enterprise,2022-11-28,2025-06-30,1,8,0
CUST0208,"Deshmukh, Hora and Patel",Government,Mid-Market,2020-06-28,2025-06-30,1,8,0
CUST0209,Chakraborty-Misra,Education,Enterprise,2019-09-21,2025-06-30,1,8,0
CUST0210,Tailor-Karan,Retail,Small,2025-01-30,2025-04-14,10,5,0
CUST0211,Suresh-Oommen,Government,Small,2021-12-22,2024-12-24,38,6,0
CUST0212,Ganesh LLC,Non-Profit,Enterprise,2019-06-27,2025-06-30,1,8,0
CUST0213,Lal-Palla,Healthcare,Mid-Market,2019-05-29,2024-10-12,25,1,1
CUST0214,Mane and Sons,Tech,Mid-Market,2020-03-27,2025-06-30,1,8,0
CUST0215,Nayak-Keer,Healthcare,Enterprise,2019-10-14,2025-06-30,1,8,0
CUST0216,Apte Inc,Government,Enterprise,2020-08-25,2023-10-27,17,3,1
CUST0217,"Basak, Mistry and Zachariah",Government,Mid-Market,2021-03-02,2025-06-30,1,8,0
CUST0218,Lalla Ltd,Healthcare,Mid-Market,2023-08-12,2024-08-25,22,9,0
CUST0219,"Acharya, Tara and Merchant",Government,Enterprise,2022-07-08,2025-06-30,1,8,0
CUST0220,Joshi Ltd,Non-Profit,Small,2021-04-09,2025-06-30,1,8,0
CUST0221,Rajagopalan-Kapadia,Government,Enterprise,2024-07-02,2024-08-10,22,2,0
CUST0222,"Pandit, Srivastava and Mital",Government,Enterprise,2023-09-11,2025-06-30,1,8,0
CUST0223,"Peri, Borde and More",Healthcare,Enterprise,2024-10-24,2025-03-22,43,10,0
CUST0224,"Dave, Rau and Balakrishnan",Finance,Small,2020-08-25,2024-10-14,36,2,1
CUST0225,Sathe Group,Tech,Mid-Market,2021-05-22,2024-05-15,7,9,0
CUST0226,"Mitra, Yogi and Murthy",Non-Profit,Small,2025-02-17,2025-06-30,1,8,0
CUST0227,Sidhu and Sons,Healthcare,Small,2021-04-09,2025-06-30,1,8,0
CUST0228,Sahota-Munshi,Healthcare,Enterprise,2022-01-08,2023-12-13,41,1,1
CUST0229,Parikh-Goda,Retail,Small,2024-04-14,2025-06-30,1,8,0
CUST0230,Dube-Magar,Tech,Small,2024-07-04,2024-11-19,2,5,0
CUST0231,Goda Inc,Finance,Small,2019-06-19,2025-04-03,12,9,0
CUST0232,Subramanian and Sons,Non-Profit,Small,2021-06-08,2025-03-04,10,10,0
CUST0233,D’Alia-Sundaram,Manufacturing,Mid-Market,2019-06-25,2024-04-14,22,5,1
CUST0234,Goswami Ltd,Retail,Mid-Market,2022-02-28,2025-06-30,1,8,0
CUST0235,Venkataraman-Narasimhan,Finance,Mid-Market,2020-11-21,2025-06-30,1,8,0
CUST0236,Buch-Ravel,Finance,Mid-Market,2024-10-23,2025-06-30,1,8,0
CUST0237,Bahri-Pant,Non-Profit,Small,2023-04-09,2025-06-30,1,8,0
CUST0238,Krish and Sons,Manufacturing,Enterprise,2023-12-10,2024-08-01,42,7,0
CUST0239,Natt Ltd,Non-Profit,Enterprise,2024-09-12,2025-06-30,1,8,0
CUST0240,Kapur-Sani,Tech,Enterprise,2023-09-21,2025-06-30,1,8,0
CUST0241,Edwin-Chanda,Education,Enterprise,2019-07-13,2025-06-30,1,8,0
CUST0242,"Agarwal, Rastogi and Joshi",Government,Mid-Market,2021-04-10,2024-02-08,1,2,0
CUST0243,Warrior-Goel,Manufacturing,Mid-Market,2024-08-13,2025-06-30,1,8,0
CUST0244,Bhardwaj-Prabhakar,Manufacturing,Enterprise,2021-01-22,2024-12-26,32,2,1
CUST0245,Rajagopal-Sunder,Education,Small,2023-11-09,2025-06-30,1,8,0
CUST0246,"Oommen, Mallick and Narayanan",Government,Mid-Market,2025-06-21,2025-07-21,24,8,0
CUST0247,Bhatia-Balay,Education,Enterprise,2025-02-25,2024-10-21,40,5,1
CUST0248,Badal-Thakkar,Healthcare,Mid-Market,2019-07-03,2025-06-30,1,8,0
CUST0249,Bains-Bhatti,Finance,Enterprise,2021-05-04,2025-06-30,1,8,0
CUST0250,"Bala, Dutta and Vyas",Government,Small,2019-05-03,2025-06-30,1,8,0
CUST0251,"Kothari, Kata and Sahota",Retail,Small,2023-12-20,2025-07-08,5,6,0
CUST0252,Ray-Char,Tech,Small,2022-11-21,2025-06-30,1,8,0
CUST0253,Chakraborty Ltd,Non-Profit,Enterprise,2019-10-10,2025-06-30,1,8,0
CUST0254,Lad-Dhaliwal,Finance,Mid-Market,2023-03-30,2024-01-18,26,6,0
CUST0255,Mangal-Vaidya,Government,Mid-Market,2019-01-02,2025-06-30,1,8,0
CUST0256,"Lalla, Munshi and Bahl",Education,Mid-Market,2023-02-20,2025-06-30,1,8,0
CUST0257,Mallick-Patla,Tech,Enterprise,2020-10-13,2024-11-15,1,5,1
CUST0258,"Badal, Rout and Nadkarni",Manufacturing,Enterprise,2019-08-15,2025-06-08,16,9,0
CUST0259,"Ravel, Kashyap and Lad",Finance,Small,2020-07-01,2025-01-12,18,10,0
CUST0260,Raju-Bajwa,Tech,Small,2021-04-03,2023-09-23,47,5,1
CUST0261,Mahal-Barad,Non-Profit,Small,2024-08-18,2025-06-27,27,10,0
CUST0262,Issac Ltd,Government,Small,2020-05-14,2025-01-04,2,9,0
CUST0263,Savant-Chandra,Retail,Small,2020-07-03,2025-06-30,1,8,0
CUST0264,Puri-Lad,Tech,Enterprise,2022-09-21,2025-06-30,1,8,0
CUST0265,Sami and Sons,Retail,Small,2023-11-04,2024-05-22,20,4,1
CUST0266,"Bhatt, Bhardwaj and Sandal",Non-Profit,Small,2023-10-08,2024-08-13,22,9,0
CUST0267,Sharma-Kapur,Retail,Enterprise,2023-03-15,2025-06-30,1,8,0
CUST0268,Sha and Sons,Non-Profit,Mid-Market,2024-05-17,2025-06-30,1,8,0
CUST0269,Jain-Raja,Government,Mid-Market,2025-05-31,2025-06-28,12,2,0
CUST0270,"Tata, Divan and Chauhan",Non-Profit,Mid-Market,2020-11-09,2025-06-30,1,8,0
CUST0271,Prabhakar and Sons,Manufacturing,Enterprise,2023-11-24,2025-06-30,1,8,0
CUST0272,Ghose Group,Healthcare,Enterprise,2019-05-02,2025-06-30,1,8,0
CUST0273,Prabhu-Prabhu,Government,Mid-Market,2021-11-16,2024-10-24,1,7,0
CUST0274,"Bail, Khanna and Mahajan",Manufacturing,Small,2023-08-10,2023-11-04,9,5,0
CUST0275,Kant Ltd,Retail,Mid-Market,2019-01-22,2025-06-30,1,8,0
CUST0276,Srinivasan-Dayal,Education,Enterprise,2019-09-29,2025-06-30,1,8,0
CUST0277,Sankar-Kalla,Retail,Mid-Market,2021-08-17,2023-10-29,32,2,1
CUST0278,Jha-Bobal,Tech,Mid-Market,2019-11-04,2024-09-03,41,1,1
CUST0279,"Khatri, Oak and Batra",Tech,Enterprise,2019-05-04,2025-06-30,1,8,0
CUST0280,Luthra-Mall,Retail,Enterprise,2023-07-05,2025-06-30,1,8,0
CUST0281,Tandon and Sons,Non-Profit,Mid-Market,2024-08-15,2025-04-29,9,9,0
CUST0282,"Tripathi, Bala and Jha",Non-Profit,Enterprise,2022-11-07,2024-12-11,39,3,1
CUST0283,"Borra, Borde and Ben",Finance,Small,2021-10-17,2025-07-17,8,9,0
CUST0284,Deshmukh-Nori,Finance,Enterprise,2024-03-10,2025-06-30,1,8,0
CUST0285,Naidu and Sons,Manufacturing,Enterprise,2021-05-27,2025-06-30,1,8,0
CUST0286,Hegde-Cherian,Tech,Enterprise,2023-11-26,2025-06-30,1,8,0
CUST0287,"Aggarwal, Soni and Purohit",Government,Small,2021-07-14,2025-06-30,1,8,0
CUST0288,Narasimhan-Brar,Healthcare,Small,2022-07-31,2025-06-30,1,8,0
CUST0289,"Lalla, Sachar and Khatri",Government,Enterprise,2022-05-06,2025-06-30,1,8,0
CUST0290,"Kohli, Deo and Mistry",Retail,Small,2024-10-27,2025-01-18,30,10,0
CUST0291,Shankar-Sabharwal,Non-Profit,Small,2025-02-15,2025-06-30,1,8,0
CUST0292,Morar-Borra,Retail,Small,2025-01-18,2025-05-11,31,8,0
CUST0293,Kurian-Pant,Government,Mid-Market,2020-12-25,2025-03-27,13,3,0
CUST0294,"Hora, More and Bala",Finance,Mid-Market,2021-07-06,2025-06-30,1,8,0
CUST0295,Sachar-Narayanan,Finance,Enterprise,2021-02-07,2025-06-07,46,6,0
CUST0296,Rau-Kari,Tech,Mid-Market,2023-06-10,2025-06-30,1,8,0
